Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max
Mismagius,Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs),1. Levitate,"1 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",35 (lower than normal),173,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",60,230,324,60,112,240,60,112,240,105,193,339,105,193,339,105,193,339
Moltres,"Fire, Flying",Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Pressure, Flame Body (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",90,290,384,100,184,328,90,166,306,125,229,383,85,157,295,90,166,306
Galarian Moltres,"Dark, Flying",Malevolent Pokémon,2.0 m (6′07″),66.0 kg (145.5 lbs),1. Berserk,3 Sp. Def,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,90,166,306,100,184,328,125,229,383,90,166,306
Monferno,"Fire, Fighting",Playful Pokémon,0.9 m (2′11″),22.0 kg (48.5 lbs),"1. Blaze, Iron Fist (hidden ability)","1 Sp. Atk, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Field, Human-Like","87.5% male, 12.5% female","20 (4,884–5,140 steps)",64,238,332,78,144,280,52,98,223,78,144,280,52,98,223,81,150,287
Morelull,"Grass, Fairy",Illuminating Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Illuminate, 2. Effect Spore, Rain Dish (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),57,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,35,67,185,55,103,229,65,121,251,75,139,273,15,31,141
Morgrem,"Dark, Fairy",Devious Pokémon,0.8 m (2′07″),12.5 kg (27.6 lbs),"1. Prankster, 2. Frisk, Pickpocket (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Fast,"Fairy, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,45,85,207,75,139,273,55,103,229,70,130,262
Morpeko Full Belly Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,2 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),153,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322
Morpeko Hangry Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,2 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),153,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322
Mothim,"Bug, Flying",Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs),"1. Swarm, Tinted Lens (hidden ability)","1 Attack, 1 Sp. Atk","45 (5.9% with PokéBall, full HP)",50 (normal),148,Medium Fast,Bug,"100% male, 0% female","15 (3,599–3,855 steps)",70,250,344,94,173,315,50,94,218,94,173,315,50,94,218,66,123,254
Mr. Mime,"Psychic, Fairy",Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs),"1. Soundproof, 2. Filter, Technician (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306
Galarian Mr. Mime,"Ice, Psychic",Dancing Pokémon,1.4 m (4′07″),56.8 kg (125.2 lbs),"1. Vital Spirit, 2. Screen Cleaner, Ice Body (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",50,210,304,65,121,251,65,121,251,90,166,306,90,166,306,100,184,328
Mr. Rime,"Ice, Psychic",Comedian Pokémon,1.5 m (4′11″),58.2 kg (128.3 lbs),"1. Tangled Feet, 2. Screen Cleaner, Ice Body (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",80,270,364,85,157,295,75,139,273,110,202,350,100,184,328,70,130,262
Mudbray,Ground,Donkey Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),77,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,100,184,328,70,130,262,45,85,207,55,103,229,45,85,207
Mudkip,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),"1. Torrent, Damp (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",50,210,304,70,130,262,50,94,218,50,94,218,50,94,218,40,76,196
Mudsdale,Ground,Draft Horse Pokémon,2.5 m (8′02″),920.0 kg (2028.3 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,125,229,383,100,184,328,55,103,229,85,157,295,35,67,185
Muk,Poison,Sludge Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs),"1. Stench, 2. Sticky Hold, Poison Touch (hidden ability)","1 HP, 1 Attack","75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218
Alolan Muk,"Poison, Dark",Sludge Pokémon,1.0 m (3′03″),52.0 kg (114.6 lbs),"1. Poison Touch, 2. Gluttony, Power of Alchemy (hidden ability)","1 HP, 1 Attack","75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218
Munchlax,Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Pickup, 2. Thick Fat, Gluttony (hidden ability)",1 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),78,Slow,Undiscovered,"87.5% male, 12.5% female","40 (10,024–10,280 steps)",135,380,474,85,157,295,40,76,196,40,76,196,85,157,295,5,13,119
Munkidori,"Poison, Psychic",Retainer Pokémon,1.0 m (3′03″),12.2 kg (26.9 lbs),"1. Toxic Chain, Frisk (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,75,139,273,66,123,254,130,238,394,90,166,306,106,195,342
Munna,Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),58,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)",76,262,356,25,49,163,45,85,207,67,125,256,55,103,229,24,47,161
Murkrow,"Dark, Flying",Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs),"1. Insomnia, 2. Super Luck, Prankster (hidden ability)",1 Speed,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),81,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,85,157,295,42,80,201,85,157,295,42,80,201,91,168,309
Musharna,Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)",116,342,436,55,103,229,85,157,295,107,197,344,95,175,317,29,56,172
Nacli,Rock,Rock Salt Pokémon,0.4 m (1′04″),16.0 kg (35.3 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,75,139,273,35,67,185,35,67,185,25,49,163
Naclstack,Rock,Rock Salt Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),124,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,60,112,240,100,184,328,35,67,185,65,121,251,35,67,185
Naganadel,"Poison, Dragon",Poison Pin Pokémon,3.6 m (11′10″),150.0 kg (330.7 lbs),1. Beast Boost,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",0 (lower than normal),243,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",73,256,350,73,135,269,73,135,269,127,233,388,73,135,269,121,222,375
Natu,"Psychic, Flying",Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Synchronize, 2. Early Bird, Magic Bounce (hidden ability)",1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,50,94,218,45,85,207,70,130,262,45,85,207,70,130,262
Necrozma,Psychic,Prism Pokémon,2.4 m (7′10″),230.0 kg (507.1 lbs),1. Prism Armor,"1 Attack, 2 Sp. Atk","255 (33.3% with PokéBall, full HP)",0 (lower than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,107,197,344,101,186,331,127,233,388,89,164,304,79,146,282
Dusk Mane Necrozma,"Psychic, Steel",Prism Pokémon,3.8 m (12′06″),460.0 kg (1014.1 lbs),1. Prism Armor,3 Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,157,287,454,127,233,388,113,207,357,109,200,348,77,143,278
Dawn Wings Necrozma,"Psychic, Ghost",Prism Pokémon,4.2 m (13′09″),350.0 kg (771.6 lbs),1. Prism Armor,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,113,207,357,109,200,348,157,287,454,127,233,388,77,143,278
Ultra Necrozma,"Psychic, Dragon",Prism Pokémon,7.5 m (24′07″),230.0 kg (507.1 lbs),1. Neuroforce,"1 Attack, 1 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),339,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,167,305,476,97,179,322,167,305,476,97,179,322,129,236,392
Nickit,Dark,Fox Pokémon,0.6 m (2′00″),8.9 kg (19.6 lbs),"1. Run Away, 2. Unburden, Stakeout (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,28,54,170,28,54,170,47,89,212,52,98,223,50,94,218
Nidoking,"Poison, Ground",Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),"1. Poison Point, 2. Rivalry, Sheer Force (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)",81,272,366,102,188,333,77,143,278,85,157,295,75,139,273,85,157,295
Nidoqueen,"Poison, Ground",Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),"1. Poison Point, 2. Rivalry, Sheer Force (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,87,161,300,75,139,273,85,157,295,76,141,276
Nidoran♀ (female) Nidoran♀,Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",1 HP,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","0% male, 100% female","20 (4,884–5,140 steps)",55,220,314,47,89,212,52,98,223,40,76,196,40,76,196,41,78,199
Nidoran♂ (male) Nidoran♂,Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",1 Attack,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)",46,202,296,57,107,234,40,76,196,40,76,196,40,76,196,50,94,218
Nidorina,Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",70,250,344,62,116,245,67,125,256,55,103,229,55,103,229,56,105,232
Nidorino,Poison,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)",61,232,326,72,134,267,57,107,234,55,103,229,55,103,229,65,121,251
Nihilego,"Rock, Poison",Parasite Pokémon,1.2 m (3′11″),55.5 kg (122.4 lbs),1. Beast Boost,3 Sp. Def,"45 (5.9% with PokéBall, full HP)",0 (lower than normal),257,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",109,328,422,53,99,225,47,89,212,127,233,388,131,240,397,103,189,335
Nincada,"Bug, Ground",Trainee Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),"1. Compound Eyes, Run Away (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",31,172,266,45,85,207,90,166,306,30,58,174,30,58,174,40,76,196
Ninetales,Fire,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),"1. Flash Fire, Drought (hidden ability)","1 Sp. Def, 1 Speed","75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)",73,256,350,76,141,276,75,139,273,81,150,287,100,184,328,100,184,328
Alolan Ninetales,"Ice, Fairy",Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),"1. Snow Cloak, Snow Warning (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"25% male, 75% female","20 (4,884–5,140 steps)",73,256,350,67,125,256,75,139,273,81,150,287,100,184,328,109,200,348
Ninjask,"Bug, Flying",Ninja Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),"1. Speed Boost, Infiltrator (hidden ability)",2 Speed,"120 (15.7% with PokéBall, full HP)",50 (normal),160,Erratic,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",61,232,326,90,166,306,45,85,207,50,94,218,50,94,218,160,292,460
Noctowl,"Normal, Flying",Owl Pokémon,1.6 m (5′03″),40.8 kg (89.9 lbs),"1. Insomnia, 2. Keen Eye, Tinted Lens (hidden ability)",2 HP,"90 (11.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Flying,"50% male, 50% female","15 (3,599–3,855 steps)",100,310,404,50,94,218,50,94,218,86,159,298,96,177,320,70,130,262
Noibat,"Flying, Dragon",Sound Wave Pokémon,0.5 m (1′08″),8.0 kg (17.6 lbs),"1. Frisk, 2. Infiltrator, Telepathy (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),49,Medium Fast,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,30,58,174,35,67,185,45,85,207,40,76,196,55,103,229
Noivern,"Flying, Dragon",Sound Wave Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs),"1. Frisk, 2. Infiltrator, Telepathy (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,70,130,262,80,148,284,97,179,322,80,148,284,123,225,379
Nosepass,Rock,Compass Pokémon,1.0 m (3′03″),97.0 kg (213.8 lbs),"1. Sturdy, 2. Magnet Pull, Sand Force (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),75,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,45,85,207,135,247,405,45,85,207,90,166,306,30,58,174
Numel,"Fire, Ground",Numb Pokémon,0.7 m (2′04″),24.0 kg (52.9 lbs),"1. Oblivious, 2. Simple, Own Tempo (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),61,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,60,112,240,40,76,196,65,121,251,45,85,207,35,67,185
Nuzleaf,"Grass, Dark",Wily Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),"1. Chlorophyll, 2. Early Bird, Pickpocket (hidden ability)",2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),119,Medium Slow,"Field, Grass","50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,70,130,262,40,76,196,60,112,240,40,76,196,60,112,240
Nymble,Bug,Grasshopper Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),"1. Swarm, Tinted Lens (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",20 (lower than normal),42,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)",33,176,270,46,87,210,40,76,196,21,42,155,25,49,163,45,85,207
Obstagoon,"Dark, Normal",Blocking Pokémon,1.6 m (5′03″),46.0 kg (101.4 lbs),"1. Reckless, 2. Guts, Defiant (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),260,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",93,296,390,90,166,306,101,186,331,60,112,240,81,150,287,95,175,317
Octillery,Water,Jet Pokémon,0.9 m (2′11″),28.5 kg (62.8 lbs),"1. Suction Cups, 2. Sniper, Moody (hidden ability)","1 Attack, 1 Sp. Atk","75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Water 1, Water 2","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,105,193,339,75,139,273,105,193,339,75,139,273,45,85,207
Oddish,"Grass, Poison",Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),"1. Chlorophyll, Run Away (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),64,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,50,94,218,55,103,229,75,139,273,65,121,251,30,58,174
Ogerpon Teal Mask,Grass,Mask Pokémon,1.2 m (3′11″),39.8 kg (87.7 lbs),1. Defiant,3 Attack,"5 (0.7% with PokéBall, full HP)",—,—,Slow,Undiscovered,"0% male, 100% female",—,80,270,364,120,220,372,84,155,293,60,112,240,96,177,320,110,202,350
Ogerpon Wellspring Mask,"Grass, Water",Mask Pokémon,1.2 m (3′11″),39.8 kg (87.7 lbs),1. Water Absorb,3 Attack,"5 (0.7% with PokéBall, full HP)",—,—,Slow,Undiscovered,"0% male, 100% female",—,80,270,364,120,220,372,84,155,293,60,112,240,96,177,320,110,202,350
Ogerpon Hearthflame Mask,"Grass, Fire",Mask Pokémon,1.2 m (3′11″),39.8 kg (87.7 lbs),1. Mold Breaker,3 Attack,"5 (0.7% with PokéBall, full HP)",—,—,Slow,Undiscovered,"0% male, 100% female",—,80,270,364,120,220,372,84,155,293,60,112,240,96,177,320,110,202,350
Ogerpon Cornerstone Mask,"Grass, Rock",Mask Pokémon,1.2 m (3′11″),39.8 kg (87.7 lbs),1. Sturdy,3 Attack,"5 (0.7% with PokéBall, full HP)",—,—,Slow,Undiscovered,"0% male, 100% female",—,80,270,364,120,220,372,84,155,293,60,112,240,96,177,320,110,202,350
Oinkologne Male,Normal,Hog Pokémon,1.0 m (3′03″),120.0 kg (264.6 lbs),"1. Lingering Aroma, 2. Gluttony, Thick Fat (hidden ability)",2 HP,"100 (13.1% with PokéBall, full HP)",50 (normal),171,Medium Fast,Field,"100% male, 0% female","15 (3,599–3,855 steps)",110,330,424,100,184,328,75,139,273,59,110,238,80,148,284,65,121,251
Oinkologne Female,Normal,Hog Pokémon,1.0 m (3′03″),120.0 kg (264.6 lbs),"1. Aroma Veil, 2. Gluttony, Thick Fat (hidden ability)",2 HP,"100 (13.1% with PokéBall, full HP)",50 (normal),171,Medium Fast,Field,"0% male, 100% female","15 (3,599–3,855 steps)",115,340,434,90,166,306,70,130,262,59,110,238,90,166,306,65,121,251
Okidogi,"Poison, Fighting",Retainer Pokémon,1.8 m (5′11″),92.0 kg (202.8 lbs),"1. Toxic Chain, Guard Dog (hidden ability)",3 Attack,"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,128,234,390,115,211,361,58,108,236,86,159,298,80,148,284
Omanyte,"Rock, Water",Spiral Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),"1. Swift Swim, 2. Shell Armor, Weak Armor (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Water 1, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",35,180,274,40,76,196,100,184,328,90,166,306,55,103,229,35,67,185
Omastar,"Rock, Water",Spiral Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),"1. Swift Swim, 2. Shell Armor, Weak Armor (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Water 1, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",70,250,344,60,112,240,125,229,383,115,211,361,70,130,262,55,103,229
Onix,"Rock, Ground",Rock Snake Pokémon,8.8 m (28′10″),210.0 kg (463.0 lbs),"1. Rock Head, 2. Sturdy, Weak Armor (hidden ability)",1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),77,Medium Fast,Mineral,"50% male, 50% female","25 (6,169–6,425 steps)",35,180,274,45,85,207,160,292,460,30,58,174,45,85,207,70,130,262
Oranguru,"Normal, Psychic",Sage Pokémon,1.5 m (4′11″),76.0 kg (167.6 lbs),"1. Inner Focus, 2. Telepathy, Symbiosis (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,60,112,240,80,148,284,90,166,306,110,202,350,60,112,240
Orbeetle,"Bug, Psychic",Seven Spot Pokémon,0.4 m (1′04″),40.8 kg (89.9 lbs),"1. Swarm, 2. Frisk, Telepathy (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),253,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,45,85,207,110,202,350,80,148,284,120,220,372,90,166,306
Oricorio Baile Style,"Fire, Flying",Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs),1. Dancer,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),167,Medium Fast,Flying,"25% male, 75% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313
Oricorio Pom-Pom Style,"Electric, Flying",Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs),1. Dancer,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),167,Medium Fast,Flying,"25% male, 75% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313
Oricorio Pa'u Style,"Psychic, Flying",Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs),1. Dancer,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),167,Medium Fast,Flying,"25% male, 75% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313
Oricorio Sensu Style,"Ghost, Flying",Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs),1. Dancer,2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),167,Medium Fast,Flying,"25% male, 75% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,70,130,262,98,180,324,70,130,262,93,171,313
Orthworm,Steel,Earthworm Pokémon,2.5 m (8′02″),310.0 kg (683.4 lbs),"1. Earth Eater, Sand Veil (hidden ability)",2 Defense,"25 (3.3% with PokéBall, full HP)",50 (normal),240,Slow,Field,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,85,157,295,145,265,427,60,112,240,55,103,229,65,121,251
Oshawott,Water,Sea Otter Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),"1. Torrent, Shell Armor (hidden ability)",1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,45,85,207,63,117,247,45,85,207,45,85,207
Overqwil,"Dark, Poison",Pin Cluster Pokémon,2.5 m (8′02″),60.5 kg (133.4 lbs),"1. Poison Point, 2. Swift Swim, Intimidate (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),179,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",85,280,374,115,211,361,95,175,317,65,121,251,65,121,251,85,157,295
Pachirisu,Electric,EleSquirrel Pokémon,0.4 m (1′04″),3.9 kg (8.6 lbs),"1. Run Away, 2. Pickup, Volt Absorb (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",100 (higher than normal),142,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",60,230,324,45,85,207,70,130,262,45,85,207,90,166,306,95,175,317
Palafin Zero Form,Water,Dolphin Pokémon,1.3 m (4′03″),60.2 kg (132.7 lbs),1. Zero to Hero,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),160,Slow,"Field, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",100,310,404,70,130,262,72,134,267,53,99,225,62,116,245,100,184,328
Palafin Hero Form,Water,Hero Pokémon,1.8 m (5′11″),97.4 kg (214.7 lbs),1. Zero to Hero,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),228,Slow,"Field, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",100,310,404,160,292,460,97,179,322,106,195,342,87,161,300,100,184,328
Palkia,"Water, Dragon",Spatial Pokémon,4.2 m (13′09″),336.0 kg (740.8 lbs),"1. Pressure, Telepathy (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,120,220,372,100,184,328,150,274,438,120,220,372,100,184,328
